"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1419","It should read a card by id","api","2026-09-12","passed","2026-09-12","Cards-> creation","api/cards.spec.js","",""
"","781","It should create a board with a name only","api","2026-09-12","passed","2026-09-12","Boards · functional","api/boards.spec.js","",""
"","2057","It should move a card to another list","api","2026-09-12","passed","2026-09-12","Cards-> update","api/cards.update.spec.js","",""
"","1380","It should create a card with a name and description","api","2026-09-12","passed","2026-09-12","Cards-> creation","api/cards.spec.js","",""
"","84","It should reject creating a card with no idList","api","2026-09-12","passed","2026-09-12","Cards ->  negative Cases","api/negative.spec.js","",""
"","235","Should reject writes with no token","api","2026-09-12","passed","2026-09-12","Authentication and authorisation","api/auth.spec.js","",""
"","1286","It should reject creating a card with an invalid due date","api","2026-09-12","passed","2026-09-12","Cards ->  negative Cases","api/negative.spec.js","",""
"","1432","It should show the card in its list and on its board","api","2026-09-12","passed","2026-09-12","Cards-> creation","api/cards.spec.js","",""
"","2046","It should restore an archived card","api","2026-09-12","passed","2026-09-12","Cards-> update","api/cards.update.spec.js","",""
"","81","It should reject updating a board that does not exist","api","2026-09-12","passed","2026-09-12","Boards -> negative Cases","api/negative.spec.js","",""
"","357","It should reject creating a board with no name","api","2026-09-12","passed","2026-09-12","Boards -> negative Cases","api/negative.spec.js","",""
"","83","Should reject requests with no credentials","api","2026-09-12","passed","2026-09-12","Authentication and authorisation","api/auth.spec.js","",""
"","1427","It should create a list on a board","api","2026-09-12","passed","2026-09-12","Lists -> functional","api/lists.spec.js","",""
"","1173","created data is identifiable and fully removable","api","2026-09-12","passed","2026-09-12","Cleanup","api/cleanup.spec.js","",""
"","1352","It should order the lists","api","2026-09-12","passed","2026-09-12","Lists -> functional","api/lists.spec.js","",""
"","312","It should reject creating a card in a list that does not exist","api","2026-09-12","passed","2026-09-12","Cards ->  negative Cases","api/negative.spec.js","",""
"","985","It should create a board with a description and no default lists","api","2026-09-12","passed","2026-09-12","Boards · functional","api/boards.spec.js","",""
"","1050","It should return only the requested fields","api","2026-09-12","passed","2026-09-12","Boards · functional","api/boards.spec.js","",""
"","1638","It should update a card name and description","api","2026-09-12","passed","2026-09-12","Cards-> update","api/cards.update.spec.js","",""
"","84","It should reject updating a card that does not exist","api","2026-09-12","passed","2026-09-12","Update and deletion -> negative Cases","api/negative.spec.js","",""
"","839","It should reject deleting the same board twice","api","2026-09-12","passed","2026-09-12","Update and deletion -> negative Cases","api/negative.spec.js","",""
